result,no.,file,lambda,heuristic,generalization,time (T/O=10)
?,52,benchmarks_included/chain_gigantic.pm,0.3,Cb,None,T/O
?,53,benchmarks_included/chain_gigantic.pm,0.3,Cb,linear_generalization,T/O
?,54,benchmarks_included/chain_gigantic.pm,0.3,Cb,binary_generalization,T/O
?,55,benchmarks_included/chain_gigantic.pm,0.3,Cb,exponential_generalization,T/O
?,56,benchmarks_included/chain_medium.pm,0.9,Cs,None,T/O
?,57,benchmarks_included/chain_medium.pm,0.9,Cs,linear_generalization,T/O
?,58,benchmarks_included/chain_medium.pm,0.9,Cs,binary_generalization,T/O
True,59,benchmarks_included/chain_medium.pm,0.9,Cs,exponential_generalization,0.124
?,60,benchmarks_included/chain_medium.pm,0.9,Cb,None,T/O
True,61,benchmarks_included/chain_medium.pm,0.9,Cb,linear_generalization,0.026
?,62,benchmarks_included/chain_medium.pm,0.9,Cb,binary_generalization,T/O
True,63,benchmarks_included/chain_medium.pm,0.9,Cb,exponential_generalization,0.121
?,64,benchmarks_included/chain_medium.pm,0.4,Cs,None,T/O
?,65,benchmarks_included/chain_medium.pm,0.4,Cs,linear_generalization,T/O
?,66,benchmarks_included/chain_medium.pm,0.4,Cs,binary_generalization,T/O
True,67,benchmarks_included/chain_medium.pm,0.4,Cs,exponential_generalization,0.125
?,68,benchmarks_included/chain_medium.pm,0.4,Cb,None,T/O
True,69,benchmarks_included/chain_medium.pm,0.4,Cb,linear_generalization,0.020
?,70,benchmarks_included/chain_medium.pm,0.4,Cb,binary_generalization,T/O
True,71,benchmarks_included/chain_medium.pm,0.4,Cb,exponential_generalization,0.122
?,72,benchmarks_included/chain_medium.pm,0.354,Cs,None,T/O
?,73,benchmarks_included/chain_medium.pm,0.354,Cs,linear_generalization,T/O
?,74,benchmarks_included/chain_medium.pm,0.354,Cs,binary_generalization,T/O
True,75,benchmarks_included/chain_medium.pm,0.354,Cs,exponential_generalization,0.122
?,76,benchmarks_included/chain_medium.pm,0.354,Cb,None,T/O
True,77,benchmarks_included/chain_medium.pm,0.354,Cb,linear_generalization,0.020
?,78,benchmarks_included/chain_medium.pm,0.354,Cb,binary_generalization,T/O
True,79,benchmarks_included/chain_medium.pm,0.354,Cb,exponential_generalization,0.123
?,80,benchmarks_included/chain_medium.pm,0.3,Cs,None,T/O
?,81,benchmarks_included/chain_medium.pm,0.3,Cs,linear_generalization,T/O
?,82,benchmarks_included/chain_medium.pm,0.3,Cs,binary_generalization,T/O
True,83,benchmarks_included/chain_medium.pm,0.3,Cs,exponential_generalization,0.121
?,84,benchmarks_included/chain_medium.pm,0.3,Cb,None,T/O
True,85,benchmarks_included/chain_medium.pm,0.3,Cb,linear_generalization,0.025
?,86,benchmarks_included/chain_medium.pm,0.3,Cb,binary_generalization,T/O
True,87,benchmarks_included/chain_medium.pm,0.3,Cb,exponential_generalization,0.120
?,88,benchmarks_included/double_chain_small.pm,0.9,Cs,None,T/O
?,89,benchmarks_included/double_chain_small.pm,0.9,Cs,linear_generalization,T/O
?,90,benchmarks_included/double_chain_small.pm,0.9,Cs,binary_generalization,T/O
?,91,benchmarks_included/double_chain_small.pm,0.9,Cs,exponential_generalization,T/O
?,92,benchmarks_included/double_chain_small.pm,0.9,Cb,None,T/O
?,93,benchmarks_included/double_chain_small.pm,0.9,Cb,linear_generalization,T/O
?,94,benchmarks_included/double_chain_small.pm,0.9,Cb,binary_generalization,T/O
?,95,benchmarks_included/double_chain_small.pm,0.9,Cb,exponential_generalization,T/O
?,96,benchmarks_included/double_chain_small.pm,0.3,Cs,None,T/O
?,97,benchmarks_included/double_chain_small.pm,0.3,Cs,linear_generalization,T/O
?,98,benchmarks_included/double_chain_small.pm,0.3,Cs,binary_generalization,T/O
?,99,benchmarks_included/double_chain_small.pm,0.3,Cs,exponential_generalization,T/O
?,100,benchmarks_included/double_chain_small.pm,0.3,Cb,None,T/O
?,101,benchmarks_included/double_chain_small.pm,0.3,Cb,linear_generalization,T/O
?,102,benchmarks_included/double_chain_small.pm,0.3,Cb,binary_generalization,T/O
?,103,benchmarks_included/double_chain_small.pm,0.3,Cb,exponential_generalization,T/O
?,104,benchmarks_included/double_chain_small.pm,0.2164,Cs,None,T/O
?,105,benchmarks_included/double_chain_small.pm,0.2164,Cs,linear_generalization,T/O
?,106,benchmarks_included/double_chain_small.pm,0.2164,Cs,binary_generalization,T/O
?,107,benchmarks_included/double_chain_small.pm,0.2164,Cs,exponential_generalization,T/O
?,108,benchmarks_included/double_chain_small.pm,0.2164,Cb,None,T/O
?,109,benchmarks_included/double_chain_small.pm,0.2164,Cb,linear_generalization,T/O
?,110,benchmarks_included/double_chain_small.pm,0.2164,Cb,binary_generalization,T/O
?,111,benchmarks_included/double_chain_small.pm,0.2164,Cb,exponential_generalization,T/O
?,112,benchmarks_included/grid_small.pm,0.3,Cs,None,T/O
?,113,benchmarks_included/grid_small.pm,0.3,Cs,linear_generalization,T/O
?,114,benchmarks_included/grid_small.pm,0.3,Cs,binary_generalization,T/O
?,115,benchmarks_included/grid_small.pm,0.3,Cs,exponential_generalization,T/O
?,116,benchmarks_included/grid_small.pm,0.3,Cb,None,T/O
?,117,benchmarks_included/grid_small.pm,0.3,Cb,linear_generalization,T/O
?,118,benchmarks_included/grid_small.pm,0.3,Cb,binary_generalization,T/O
?,119,benchmarks_included/grid_small.pm,0.3,Cb,exponential_generalization,T/O
?,120,benchmarks_included/grid_small.pm,0.2,Cs,None,T/O
?,121,benchmarks_included/grid_small.pm,0.2,Cs,linear_generalization,T/O
?,122,benchmarks_included/grid_small.pm,0.2,Cs,binary_generalization,T/O
?,123,benchmarks_included/grid_small.pm,0.2,Cs,exponential_generalization,T/O
?,124,benchmarks_included/grid_small.pm,0.2,Cb,None,T/O
?,125,benchmarks_included/grid_small.pm,0.2,Cb,linear_generalization,T/O
?,126,benchmarks_included/grid_small.pm,0.2,Cb,binary_generalization,T/O
?,127,benchmarks_included/grid_small.pm,0.2,Cb,exponential_generalization,T/O
?,128,benchmarks_included/haddad_monmege_small.pm,0.9,Cs,None,T/O
?,129,benchmarks_included/haddad_monmege_small.pm,0.9,Cs,linear_generalization,T/O
?,130,benchmarks_included/haddad_monmege_small.pm,0.9,Cs,binary_generalization,T/O
?,131,benchmarks_included/haddad_monmege_small.pm,0.9,Cs,exponential_generalization,T/O
?,132,benchmarks_included/haddad_monmege_small.pm,0.9,Cb,None,T/O
?,133,benchmarks_included/haddad_monmege_small.pm,0.9,Cb,linear_generalization,T/O
?,134,benchmarks_included/haddad_monmege_small.pm,0.9,Cb,binary_generalization,T/O
?,135,benchmarks_included/haddad_monmege_small.pm,0.9,Cb,exponential_generalization,T/O
?,136,benchmarks_included/haddad_monmege_small.pm,0.75,Cs,None,T/O
?,137,benchmarks_included/haddad_monmege_small.pm,0.75,Cs,linear_generalization,T/O
?,138,benchmarks_included/haddad_monmege_small.pm,0.75,Cs,binary_generalization,T/O
?,139,benchmarks_included/haddad_monmege_small.pm,0.75,Cs,exponential_generalization,T/O
?,140,benchmarks_included/haddad_monmege_small.pm,0.75,Cb,None,T/O
?,141,benchmarks_included/haddad_monmege_small.pm,0.75,Cb,linear_generalization,T/O
?,142,benchmarks_included/haddad_monmege_small.pm,0.75,Cb,binary_generalization,T/O
?,143,benchmarks_included/haddad_monmege_small.pm,0.75,Cb,exponential_generalization,T/O
?,144,benchmarks_included/zero_conf_small.pm,0.9,Cs,None,T/O
?,145,benchmarks_included/zero_conf_small.pm,0.9,Cs,linear_generalization,T/O
True,146,benchmarks_included/zero_conf_small.pm,0.9,Cs,binary_generalization,3.349
True,147,benchmarks_included/zero_conf_small.pm,0.9,Cs,exponential_generalization,2.629
?,148,benchmarks_included/zero_conf_small.pm,0.9,Cb,None,T/O
?,149,benchmarks_included/zero_conf_small.pm,0.9,Cb,linear_generalization,T/O
True,150,benchmarks_included/zero_conf_small.pm,0.9,Cb,binary_generalization,3.402
True,151,benchmarks_included/zero_conf_small.pm,0.9,Cb,exponential_generalization,4.522
?,152,benchmarks_included/zero_conf_small.pm,0.75,Cs,None,T/O
?,153,benchmarks_included/zero_conf_small.pm,0.75,Cs,linear_generalization,T/O
True,154,benchmarks_included/zero_conf_small.pm,0.75,Cs,binary_generalization,3.378
True,155,benchmarks_included/zero_conf_small.pm,0.75,Cs,exponential_generalization,2.617
?,156,benchmarks_included/zero_conf_small.pm,0.75,Cb,None,T/O
?,157,benchmarks_included/zero_conf_small.pm,0.75,Cb,linear_generalization,T/O
True,158,benchmarks_included/zero_conf_small.pm,0.75,Cb,binary_generalization,3.381
True,159,benchmarks_included/zero_conf_small.pm,0.75,Cb,exponential_generalization,4.036
False,160,benchmarks_included/zero_conf_small.pm,0.52,Cs,None,0.063
False,161,benchmarks_included/zero_conf_small.pm,0.52,Cs,linear_generalization,0.192
False,162,benchmarks_included/zero_conf_small.pm,0.52,Cs,binary_generalization,1.209
False,163,benchmarks_included/zero_conf_small.pm,0.52,Cs,exponential_generalization,0.188
False,164,benchmarks_included/zero_conf_small.pm,0.52,Cb,None,0.182
False,165,benchmarks_included/zero_conf_small.pm,0.52,Cb,linear_generalization,0.748
False,166,benchmarks_included/zero_conf_small.pm,0.52,Cb,binary_generalization,1.393
False,167,benchmarks_included/zero_conf_small.pm,0.52,Cb,exponential_generalization,0.560
False,168,benchmarks_included/zero_conf_small.pm,0.45,Cs,None,0.017
False,169,benchmarks_included/zero_conf_small.pm,0.45,Cs,linear_generalization,0.026
False,170,benchmarks_included/zero_conf_small.pm,0.45,Cs,binary_generalization,0.060
False,171,benchmarks_included/zero_conf_small.pm,0.45,Cs,exponential_generalization,0.029
False,172,benchmarks_included/zero_conf_small.pm,0.45,Cb,None,0.023
False,173,benchmarks_included/zero_conf_small.pm,0.45,Cb,linear_generalization,0.034
False,174,benchmarks_included/zero_conf_small.pm,0.45,Cb,binary_generalization,0.073
False,175,benchmarks_included/zero_conf_small.pm,0.45,Cb,exponential_generalization,0.037
Done.
